,country/region,lat,long,total_confirmed_cases,total_recovered,total_death
0,Antarctica,-71.9499,23.347,11,0,0
1,New Zealand,-40.9006,174.886,1422178,0,1602
2,Argentina,-38.4161,-63.6167,9394326,0,129109
3,Chile,-35.6751,-71.543,4065878,0,58757
4,Uruguay,-32.5228,-55.7658,962251,0,7351
5,South Africa,-30.5595,22.9375,3997269,0,101876
6,Lesotho,-29.61,28.2336,33938,0,699
7,Eswatini,-26.5225,31.4659,73205,0,1417
8,Paraguay,-23.4425,-58.4438,660841,0,18994
9,Namibia,-22.9576,18.4904,169253,0,4065
10,Botswana,-22.3285,24.6849,324154,0,2753
11,Tonga,-21.179,-175.1982,12382,0,12
12,Mauritius,-20.348404,57.552152,231036,0,1004
13,Zimbabwe,-19.015438,29.154857,255891,0,5562
14,Madagascar,-18.766947,46.869107,65787,0,1401
15,Fiji,-17.7134,178.065,66126,0,866
16,Bolivia,-16.2902,-63.5887,939612,0,21963
17,Vanuatu,-15.3767,166.9592,11569,0,14
18,Brazil,-14.235,-51.9253,32830844,0,673339
19,Samoa,-13.759,-172.1046,15052,0,29
20,Malawi,-13.2543,34.3015,86706,0,2647
21,Zambia,-13.133897,27.849332,326794,0,4008
22,Comoros,-11.6455,43.3333,8161,0,160
23,Angola,-11.2027,17.8739,101320,0,1900
24,Solomon Islands,-9.6457,160.1562,21544,0,153
25,Peru,-9.19,-75.0152,3662685,0,213652
26,Tanzania,-6.369028,34.888822,35768,0,841
27,Papua New Guinea,-6.314993,143.95555,44745,0,662
28,Seychelles,-4.6796,55.492,45000,0,167
29,Congo (Kinshasa),-4.0383,21.7587,91393,0,1375
30,Burundi,-3.3731,29.9189,42836,0,38
31,Kiribati,-3.3704,-168.734,3236,0,13
32,Rwanda,-1.9403,29.8739,131566,0,1461
33,Ecuador,-1.8312,-78.1834,918479,0,35749
34,Gabon,-0.8037,11.6094,47939,0,305
35,Indonesia,-0.7893,113.9213,6106024,0,156781
36,Congo (Brazzaville),-0.228,15.8277,24421,0,386
37,Kenya,-0.0236,37.9062,335569,0,5660
38,Diamond Princess,0.0,0.0,712,0,13
39,MS Zaandam,0.0,0.0,9,0,2
40,Sao Tome and Principe,0.1864,6.6131,6064,0,74
41,Singapore,1.2833,103.8333,1515222,0,1427
42,Uganda,1.373333,32.290275,168227,0,3622
43,Equatorial Guinea,1.6508,10.2679,16383,0,183
44,Maldives,3.2028,73.2207,182720,0,306
45,Cameroon,3.848,11.5021,120068,0,1931
46,Suriname,3.9193,-56.0278,80890,0,1376
47,Malaysia,4.210484,101.975766,4589911,0,35801
48,Brunei,4.5353,114.7277,172280,0,225
49,Colombia,4.5709,-74.2973,6198848,0,140202
50,Guyana,4.860416,-58.93018,68020,0,1259
51,Somalia,5.152149,46.199616,26865,0,1361
52,Venezuela,6.4238,-66.5897,527789,0,5739
53,Liberia,6.428055,-9.429499,7500,0,294
54,Central African Republic,6.6111,20.9394,14675,0,113
55,South Sudan,6.877,31.307,17733,0,138
56,Marshall Islands,7.1315,171.1845,45,0,0
57,Micronesia,7.4256,150.5508,38,0,0
58,Palau,7.515,134.5825,5269,0,6
59,Cote d'Ivoire,7.54,-5.5471,83979,0,805
60,Sri Lanka,7.873054,80.771797,664235,0,16525
61,Ghana,7.9465,-1.0232,166816,0,1453
62,Sierra Leone,8.460555,-11.779889,7716,0,125
63,Panama,8.538,-80.7821,932710,0,8384
64,Togo,8.6195,0.8248,37554,0,275
65,Nigeria,9.082,8.6753,257637,0,3144
66,Ethiopia,9.145,40.4897,490182,0,7550
67,Benin,9.3077,2.3158,27216,0,163
68,Costa Rica,9.7489,-83.7534,904934,0,8525
69,Guinea,9.9456,-9.6966,37358,0,443
70,Trinidad and Tobago,10.6918,-61.2225,167896,0,4021
71,Cambodia,11.55,104.9167,136326,0,3056
72,Guinea-Bissau,11.8037,-15.1804,8400,0,171
73,Djibouti,11.8251,42.5903,15690,0,189
74,Grenada,12.1165,-61.679,18531,0,233
75,Burkina Faso,12.2383,-1.5616,21044,0,387
76,Sudan,12.8628,30.2176,62745,0,4952
77,Nicaragua,12.865416,-85.207229,14721,0,243
78,Philippines,12.879721,121.774017,3714770,0,60639
79,Saint Vincent and the Grenadines,12.9843,-61.2872,9083,0,114
80,Barbados,13.1939,-59.5432,85679,0,478
81,Gambia,13.4432,-15.3101,12009,0,365
82,El Salvador,13.7942,-88.8965,180970,0,4155
83,Saint Lucia,13.9094,-60.9789,27252,0,385
84,Vietnam,14.058324,108.277199,10752942,0,43089
85,Senegal,14.4974,-14.4524,86455,0,1968
86,Eritrea,15.1794,39.7823,9811,0,103
87,Honduras,15.2,-86.2419,429408,0,10911
88,Dominica,15.415,-61.371,14852,0,68
89,Chad,15.4542,18.7322,7426,0,193
90,Yemen,15.552727,48.516388,11832,0,2149
91,Guatemala,15.7835,-90.2308,939300,0,18678
92,Thailand,15.870032,100.992541,4540955,0,30798
93,Cabo Verde,16.5388,-23.0418,61517,0,407
94,Antigua and Barbuda,17.0608,-61.7964,8686,0,143
95,Belize,17.1899,-88.4976,64948,0,680
96,Saint Kitts and Nevis,17.357822,-62.782998,6266,0,43
97,Mali,17.570692,-3.996166,31184,0,737
98,Niger,17.607789,8.081666,9031,0,310
