,continent,Year,Energy use (kg of oil equivalent per capita)
12,Europe,1972,865.592481207
13,Europe,1977,923.7288675039999
14,Europe,1982,966.6832837810001
15,Europe,1987,921.8930440180001
16,Europe,1992,418.28662975699996
17,Europe,1997,384.594958328
18,Europe,2002,645.080153785
19,Europe,2007,679.861765101
22,Africa,1972,261.465250751
23,Africa,1977,398.656113469
24,Africa,1982,771.235497639
25,Africa,1987,827.552506829
26,Africa,1992,883.7458819
27,Africa,1997,804.842705115
28,Africa,2002,904.456391853
29,Africa,2007,1075.19412704
52,Africa,1972,629.301934363
53,Africa,1977,535.2524622330001
54,Africa,1982,514.415934309
55,Africa,1987,502.59845891099997
56,Africa,1992,511.237051724
57,Africa,1997,494.174484207
58,Africa,2002,515.4034564030001
59,Africa,2007,561.5501055130001
82,Americas,1972,1379.81886741
83,Americas,1977,1420.56765898
84,Americas,1982,1416.53992488
85,Americas,1987,1477.07652885
86,Americas,1992,1484.0589177000006
87,Americas,1997,1614.33824027
88,Americas,2002,1502.22488095
89,Americas,2007,1846.93675639
110,Oceania,1962,3172.97486502
111,Oceania,1967,3692.80794983
112,Oceania,1972,4035.20634439
113,Oceania,1977,4671.19567362
114,Oceania,1982,4817.48952431
115,Oceania,1987,4772.37046465
116,Oceania,1992,4959.21491855
117,Oceania,1997,5469.5999892
118,Oceania,2002,5569.6409925
119,Oceania,2007,5868.34709712
120,Europe,1962,1675.87362115
121,Europe,1967,1920.21212423
122,Europe,1972,2627.32249578
123,Europe,1977,2797.42192238
124,Europe,1982,2830.22178095
125,Europe,1987,3174.74539203
126,Europe,1992,3239.0639673
127,Europe,1997,3542.5214303000002
128,Europe,2002,3765.28296302
129,Europe,2007,4029.62695258
152,Asia,1972,5960.21133509
153,Asia,1977,8187.11498635
154,Asia,1982,9071.02474414
155,Asia,1987,9523.46356521
156,Asia,1992,10844.7550254
157,Asia,1997,12122.050602700001
158,Asia,2002,11704.3047293
159,Asia,2007,11291.126355
162,Asia,1972,86.903766977
163,Asia,1977,97.860763105
164,Asia,1982,105.482961637
165,Asia,1987,106.866835127
166,Asia,1992,119.405481659
167,Asia,1997,135.210016124
168,Asia,2002,149.933182829
169,Asia,2007,173.580998621
190,Europe,1962,2810.06114801
191,Europe,1967,3182.9234575
192,Europe,1972,4473.92951273
193,Europe,1977,4589.52441
